text,category,confidence,source
"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
MISCELLANEOUS CAUSE NO. E157 OF 2023
OLIVER THANDI MUNYUA ■APPLICANT 
- VERSUS -
ABSA BANK KENYA PLC……………...………RESPONDENT
 (Before Hon. Justice Byram Ongaya on Friday 17th November, 2023)
RULING
The applicant filed the application dated 03.10.2023 through J.A. Guserwa &Company Advocates. It was under Articles 41 and 47 of the Constitution and Rule 17 of the Employment & Labour Relations Court (Procedure) Rules 2016 and all other enabling provisions of law. The prayer is for grant to the applicant leave to file his petition out of time and the annexed petition be admitted by the Court for hearing and determination, and, costs of the application.
The application is based upon the annexed applicant’s supporting affidavit and is urged as follows:
The applicant was in the lawful employment of the respondent as the Branch Operations Officer since 2008.
By letter dated 23.03.2018 the respondent terminated the applicant’s position unlawfully and contrary to his right to fair labour practices. He applied for a review by his letter dated 29.03.2018 but the appeal against the summary dismissal was upheld by the respondent’s letter dated 10.05.2018.
The applicant was subjected to criminal proceedings that were determined on the 25.05.2023 long after the time for filing the instant suit had expired. It was a decision upon appeal before the High Court (Grace L. Nzioka J).
The applicant seeks to be compensated by the respondent, his former employer.
The respondent filed the replying affidavit of Mikah Gachanja, respondent’s Legal Counsel sworn on 18.10.2023 together with grounds of opposition both filed through Mboya Wangongu’u & Waiyaki Advocates. The grounds of opposition were as follows:
Section 90 of the Employment Act does not admit of any leave to file a petition out of time of limitation of 3-years for disputes relating to contracts of employment.",court,54.37%,model
"Part III of the Limitation of Actions Act Cap 22 does not apply as to permit leave as prayed for to file the petition.
The petitioner has not advanced a good reason for not filing the petition or claim prior to lapsing of the time of limitation.
The application is unduly delayed filed 130 days after the decision in the criminal appeal delivered on 25.05.2023.
The cause of action accrued more than 5-years ago. It is prejudicial to require the respondent to defend such action but for the applicant’s indolence.
The proposed suit has low chances of success because the summary dismissal was with due procedure and a fair reason. Further, the Court in the criminal appeal judgment found the applicant had not conducted due diligence and was negligent. No material is exhibited to support the proposed petition.
Submissions were filed for the parties. The Court has considred the material on record.
The only issue is whether the Court should exercise discretion in favour of the applicant to grant leave for filing of petition belatedly and the time of limitation under section 90 of the Employment Act, 2007 having lapsed. As urged for the respondent there is no disabling ground established why the applicant failed to file suit prior to lapsing of the time of limitation in section 90 of the Act. It is that a petition to enforce fundamental freedoms and rights can be entertained belatedly despite statutory time of limitation provided the petitioner establishes the disabling circumstances that may have made it impossible to move the Court within the prescribed time lines. Such factors have not been established and even if they existed, the procedure would be to simply file the petition as merited and any objections in that regard established and urged in the petition if objections on time of limitation are raised.  
The Court considers that where petitions are entertained despite periods of limitation, it is not that the Court is then granting leave but that in the circumstances the cause of action in the petition is found valid as urged and, in the circumstances, not being urged on the basis of leave granted. The Court finds that no provision of law has been urged granting the Court the jurisdiction or pwer to extend time or grant leave as prayed for.
It appears that, as submitted for the respondent, after the summary dismissal and rejection of the administrative appeal or review, the cause of action crystallised but the applicant offers no explanation why he failed to promptly move the Court.",court,57.87%,model
"The Court has considered all the circumstances including the acquittal in the criminal appeal and returns no orders on costs.
The application is hereby dismissed with no orders on costs.
Signed, dated and delivered by video-link and in court at Nairobi this Friday 17th November, 2023.
BYRAM ONGAYA
PRINCIPAL JUDGE",court,56.79%,model
"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT NAIROBI
CIVIL APPEAL NO. E278 OF 2021
GLAXO SMITHKLINE PHARMACEUTICAL 
KENYA LIMITED …………...............................1ST APPELLANT
STELLA KIGUJA NG’ANGA……………………….. 2ND APPELLANT
-VERSUS-
JOSEPH MULINGE KILO ……………………..........RESPONDENT
(Being an appeal from the judgment and decree of Hon. A. N. Makau (PM) in Milimani CMCC No. 1719 of 2019 delivered on 24/2/2020)
JUDGMENT
The respondent in this appeal, JOSEPH MULINGE KILO filed Milimani CMCC no. 1719 of 2019 seeking general damages for pain and suffering and loss of amenities and special damages of ksh.3,550/= together with costs and interest for injuries the respondent sustained on 22/4/2018 while the respondent was riding motor cycle registration no. KMET 654V when it was hit by the 1st appellants motor vehicle registration no. KCF 750U.
The respondent who suffered cut wound web of the 2nd and 3rd fingers on the left hand, bruises on the left thumb, cut wound on the left leg, swollen tender left leg and blunt injury on the hip region blamed the 2nd appellants motor vehicle for the accident.
The trial court found that both the rider and the motor vehicle were to blame of the accident and apportioned liability at 80:20% in favour of the respondent against the appellants.
The trial court assessed quantum of damages as follows;
General damages for pain & suffering ■ksh.300,000
Special damages ■■■■ksh.    3,550
Total■■■■■■■ksh.303,550
Less 20% contributory negligence■ksh.242,840
The appellants have appealed against the said judgment and decree for the following reasons.
That the learned magistrate erred in law in failing to consider the provisions of the Traffic Act Cap 403 and the traffic rules thereunder as a result, arrived at an erroneous conclusion",court,54.47%,model
"That the learned magistrate erred in fact by failing to scrutinize/evaluate the evidence tendered in this matter and as a result held the appellants wholly liable for the accident
The learned magistrate erred in law and in fact by failing to scrutinize the evidence tendered in support of the injuries suffered by the respondent and to correctly relate them to case law cited and as a result failed to arrive at a fair and reasonable compensation for the said injuries.
That the learned magistrate erred in law and in fact in failing to find that the nature of the injuries by the respondent did not warrant an award of general damages of Kshs. 300,000
That the learned magistrate erred in law by failing to properly consider the appellants’ defence, evidence and submissions and in doing so arrived at an erroneous conclusion.
That the learned magistrate erred in law and fact by awarding an inordinately high award of damages for the injuries sustained by the plaintiff.
The appellant submitted that the respondent does not give a comprehensive account of the accident but merely avers that he was lawfully riding motor cycle registration number KMEB 131Y along Ngong road-Green house when the driver of motor vehicle KCF 750U carelessly drove at high speed that it lost control and hit his motorcycle causing him very serious injuries.
The Appellants’ account of the accident, which was uncontroverted during trial was that on the fateful day at around 1:00 pm, the 2nd Appellant was driving motor vehicle registration number KCF 750U along Ngong Road intending to turn right into Ngong Lane. The visibility was clear and there was minimal road traffic.
 The 2nd Appellant indicated that he was turning right and once ascertaining the road was clear, turned right towards Double Tree Hotel and he had already turned when motor vehicle registration KMEB 131Y coming from the direction of Prestige Mall, hit its rear bumper.  That from the foregoing, it is clear that the accident occurred when the motor cycle registration number KMET 131Y hit the rear of motor vehicle registration number KCF 750U.",court,55.14%,model
"The appellant argued that the respondent did not adduce any eye witness evidence to support his version of events from which he seeks the court to hold that the 2nd appellant is liable for the accident. he did not adduce any evidence proving that the 2nd appellant was driving the motor vehicle at an excessive speed and further the police abstract dates 11/7/2018 confirms the occurrence of an accident but does not state who the police blame for the accident.
It was therefore the appellants argument that the respondent failed to discharge his burden of proof to the required standard pursuant to section 108 and 109 of the evidence Act and the trial court erred in holding the appellants liable for the accident either wholly of partially.
On damages the appellant submitted that from the medical report dated 15/10/2019 the respondent suffered bruises in the left hand, cut wound on the left shin and blunt injury right hip region. It was the appellants argument that kshs. 300,000 was excessive and that an award of Kshs. 150,000 would be sufficient based on comparable cases. In support the appellants cited Ahmed Said Amadi v Jacob Fundi Mugo [2021] eKLR: where, the respondent herein was medically examined on 11th July, 2012. He sustained a cut to the head, lacerations on both the upper and lower lip, and an abrasion on the right elbow. PW2 indicated that the respondent would recover fully with no disability. The High Court awarded general damages of Kshs. 150,000.00
The respondent submitted that the trial court was justified in its findings on liability considering the evidence that was adduced by both parties. the trial court found that the 2nd appellant joined the road when it was not clear for her and determined that the appellants were 80% liable.
On damages the respondent argued that Kshs 300,000 as damages was sufficient and in support cited a decision of the High Court in the case of Robinson Njoroge v Daniel Obasa [2021] eKLR where the court upheld Kshs. 300,000 for comparable injuries.",court,55.92%,model
"This being a first appeal, the duty of the first appellate court is to re-evaluate the evidence adduced before the trial court and to arrive at its own conclusion whether to support the findings of the trial court while bearing in mind that the trial court had the opportunity of seeing the witnesses. In Selle –Vs- Associated Motor Boat Co. [1968] EA 123 it was held in the following terms: -
“An appeal from the High Court is by way of re-trial and the Court of Appeal is not bound to follow the trial judge’s finding of fact if it appears either that he failed to take account of particular circumstances or probabilities, or if the impression of the demeanour of a witness is inconsistent with the evidence generally.
An appeal to this court from a trial by the High Court is by way of retrial and the principles upon which this court acts in such an appeal are well settled.  Briefly put they are that this court must reconsider the evidence, evaluate it itself and draw its own conclusions though it should always bear in mind that it has neither seen nor heard the witnesses and should make due allowance in this respect.
In particular, this court is not bound necessarily to follow the trial judge’s findings of fact if it appears either that he has clearly failed on some point to take account of particular circumstances or probabilities materially to estimate the evidence or if the impression based on the demeanor of a witness is inconsistent with the evidence in the case generally.” 
The issues for determination are as follows;
Whether the trial court was right on its findings on liability.
Whether the award of damages was inordinately high.
Whether the trial court failed to considered the defence and arrived at an erroneous decision.
On the issue as to whether the trial court was right in its findings on liability, the record is clear that the motor cycle hit the car from the back.
The trial court found that the 2nd appellant confirmed that the rider hit the motor vehicle at the rear.
The trial court said that the 2nd appellant knew that the rider had a right of way and she ought to have given way before joining the road.
The trial court also found that the rider ought to have slowed down to avoid hitting the motor vehicle at the rear.",court,56.54%,model
"In the circumstances, I find that the court was not right on its findings on liability. I have re-evaluated the evidence and find that both were to blame for the accident and the court ought to have apportioned liability at 50:50%.
I accordingly set aside 80:20% ratio and substitute it with 50:50% liability for reasons that although the 1st appellant was hit at the rear, there is evidence she had already joined the road when she was hit at the back.
On the issue as to whether the award was inordinately high, I have considered the authorities relied on by the trial court and I find they were comparable.
The respondent sustained soft tissue injuries.
In Catherine Wanjiru Kingori & 3 Others v Gibson Theuri Gichubi [2005] eKLR the plaintiff therein suffered injuries on the left ankle, injuries on the legs and chest, dislocation of the left wrist, fracture of the radius and ulna and soft tissue injuries to the face. The Court awarded general damages of Kshs. 300,000 in 2005.
In Francis Ndungu Wambui & 2 others v Benson Maina Gatia [2019] eKLR quite recently, the High Court reviewed downwards an award of general damages of Kshs. 400,000 to Kshs. 300,000 for injuries of head injury with loss of consciousness and soft tissue injuries.
I find kshs.300,000 reasonable in the circumstances of this case. 
 I also find that the defence by the Appellant was referred to in the judgment.
I accordingly adjust the amount payable as follows
Liability is adjusted to 50:50% in against the appellant in favour of the respondent 
General damages for pain &suffering 300,000
Special damages■■■■      3,550
Total■■■■■■■ 303,550
Less 50% liability■■■■151,775
The trial court’s judgment is set aside and substituted with judgment in favour of the respondent against the appellants in the sum of ksh.151,775 with costs and interest from the time of the judgment of the trial court until payment in full.
Since the appeal succeeded partially each party is to bear its own costs. Orders accordingly.",court,55.38%,model
"Since the appeal succeeded partially each party is to bear its own costs. Orders accordingly.
Dated, Signed and Delivered online via Microsoft Teams at Nairobi this 17th day of November, 2023.
     ………….…………….
N. ONGERI
    JUDGE
In the presence of:■
……………………………. for the Appellant
……………………………. for the Respondent",court,54.38%,model
"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
CAUSE NO. 328 OF 2019
STEPHEN MOLLA ■CLAIMANT 
- VERSUS -
KENYA WOMEN AND CHILDREN WELLNESS CENTRE ………………………………………1ST RESPONDENT
DELORIS JORDAN……………………….2ND RESPONDENT
(Before Hon. Justice Byram Ongaya on Friday 17th November, 2023)
JUDGMENT
The claimant filed the statement of claim on 22.05.2019.  The claimant as pleaded, was employed by the 1st respondent in 2013 and initially on casual basis. The respondent issued the letter dated 01.03.2019. It conveyed that the respondent had lost confidence and trust in the claimant and his last working day would be on 01.03.2019. he was directed not to report to work in the month of March but he would receive his pay check at the end of March 2019. His certificate of service was attached on that letter of termination of employment. The certificate stated that he had worked for the 1st respondent from January 2013 as a consultant up to September 2014. Further, he was a full time employee from August 2014 to 1st March 2019. The certificate and the letter were signed by the 2nd respondent as the President of the 1st respondent.
The claimant alleges that the termination was unlawful and unfair and claims and prays for:
5-years salary 112, 244 x 12 x 5 = Kshs.6, 734,640.00.
Gratuity for 5 years Kshs.112,244 x5 = Kshs.561,220.00.
Leave allowance for years worked Kshs.471, 417.00.
Costs of the suit.
Any other order the Court deems fit.",court,52.10%,model
"Costs of the suit.
Any other order the Court deems fit.
The respondent filed the statement of response on 06.02.2021 through Archer & Wilcock Advocates. The respondent admitted employing the claimant and as at termination the prevailing contract of service was the one dated 01.04.2018. and he served as a driver or Program Training Support Team Member in the 1st respondent’s establishment. The respondent further pleaded as follows. On 28.01.2019 the 1st respondent lost several assets through internal theft. A staff meeting was called and the claimant and other two staff members were summoned and heard in self-explanation. The 1st respondent considered the proceedings and lost trust and confidence in the claimant and the contract was terminated in accordance of with the terms and conditions of service. The claimant was paid one-month salary in lieu of notice and he unreservedly acknowledged receipt. The respondent prayed that the suit be dismissed with costs as lacking in merits.
The claimant testified to support his case. The respondent’s witness (RW) was Pauline M. Gathanga, the 1st respondent’s Program Manager. Final submissions were filed for the parties.
There is no dispute that the parties were in a contract of service and the contract was terminated by the letter dated 01.03.2019. 
Was the termination unfair? By his own testimony the claimant confirmed that on 28.01.2019 some incident took place because the 1st respondent’s office was broken into and some items stolen. Further, he confirmed that thereafter a meeting was convened and everyone was investigated and he gave his version of the account. After the meeting he was given a notice of termination of the contract of employment dated 01.03.2019. he confirmed that earlier in his service on 29.01.2018 he was arrested surrounding some banking event but later he was released and continued working for the 1st respondent. RW testified that as at termination of the claimant the issue of theft was under investigation.",court,50.79%,model
"The Court has considered the material evidence that a meeting was held following the theft and the 1st respondent concluded it had lost confidence in the claimant and terminated per termination clause. The Court considers that as urged for the respondents, the 1st respondent was entitled to invoke the contractual termination clause which is as well recognised in section 35 of the Employment Act. In the circumstances it cannot be said that the reason for termination was unfair or the procedure was unfair. The Court upholds the respondent’s case and submission in that regard and in view of sections 43 and 45 of the Act. It was submitted for the claimant that it was unfair for want of a genuine reason per section 43 and due procedure per section 41 of the Employment Act, 2007. The Court has found that the invoked contractual clause was available in the circumstances of the case and loss of trust and confidence appears to have been a genuine reason, the claimant and RW having confirmed the theft in issue and the investigative meeting indeed took place. The reason for termination was diminished trust and confidence and the procedure was invoking the contractual termination clause. It is not for the Court to get into the respondent’s mind to graduate impact of the incidence and trust or confidence levels. What is important is that the theft took place and in the circumstances, it is not far fetched that the trust and confidence dwindled or likely diminished. The Court will not interfere with the respondents’ discretion in that regard to terminate the contract of service.
The Court returns that as submitted for the respondents, the claimant has not shown statutory or contractual or other basis for claiming Kshs.6,734, 640.00 salary for 5 years. As for gratuity, as urged for the respondent, it is not due per section 35 of the Act because the claimant was a member of the National Social Security Fund. For the claim of leave, the claimant confirmed that he had taken all his leave days. The claimant would not be entitled to receive statutory deduction dues and any failures in that regard would fall for resolution under the relevant statutes.
In conclusion the suit is hereby dismissed with costs.
Signed, dated and delivered by video-link and in court at Nairobi this Friday 17th November, 2023.
BYRAM ONGAYA
PRINCIPAL JUDGE",court,53.60%,model
"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT NAIROBI
CIVIL CASE NO. 136 OF 2018
TATU CITY LIMITED.......................................1ST PLAINTIFF 
KOFINAF COMPANY LIMITED………………….….2ND PLAINTIFF
VERSUS
STEPHEN MBUGUA MWAGIRU………..............1ST DEFENDANT
WINFRED WANJIKU GITONGA ……………….. 2ND DEFENDANT
GABRIEL KAGO …………………………………….3RD DEFENDANT
ERIC WAINAINA …………………………………… 4TH DEFENDANT
GALGALLO FAYO …………………………………… 5TH DEFENDANT
NATION MEDIA GROUP LIMITED…………….. 6TH DEFENDANT
RULING
The application coming for consideration in this ruling is the one dated 6/12/2018 brought under Order 2 Rule 15, Order 6 and Order 51 rule 1 of the Civil Proceedings rules 2010 seeking the following prayers
The plaint dated 11th June 2018 and lodged by the 1st and 2nd plaintiffs be struck out in respect of the allegations against the 1st defendant and 2nd defendant.
That costs of this application be borne by the 1st and 2nd plaintiffs.
The application is based on the grounds on the face of it as follows;
The plaintiff filed the plaint dated 11th June, 2018 out of time and it is therefore time barred due to limitation of time.
That notwithstanding, the plaint is based on a grave misconception about the employment and engagement of the 1st defendant not a publisher.
The plaintiff’s plaint is sub judice as it seeks to use the forum of this honourable court to litigate and influence court matters that are pending adjudication in various other courts.
The plaintiffs’ plaint is based on allegations that are contrary to the freedoms of speech guaranteed under article 33 of the constitution of Kenya.
The plaintiffs have not specifically disclosed how the alleged publications have undermined their reputation and character in the eyes of the right thinking members of the society.
The plaintiff does not disclose a reasonable cause of action for a defamation suit, let alone a cause of action against the 1st defendant and 2nd defendant.",court,55.72%,model
"The plaintiffs’ allegations of harassments and malice are mere allegations as they are devoid of concise and specific particulars with respect to the 1st defendant and 2nde defendant.
The plaintiffs allegations are unrelated and are farfetched and thus cannot be linked to the alleged cause of defamation that the plaintiffs very unimaginatively strive to pursue on the instance case.
The plaintiffs’ imputations of gross criminal behavior by the 1st defendant and 2nd defendant are based on plaintiffs’ opinions and actions which are contrary to the express provisions of criminal and land laws on finding of guilt and placement of caveats hence it is an abuse of the court process.
The plaintiff is significantly based on wild and unfounded allegations against the 1st defendant and 2nd defendant that are completely unrelated and remote to their insinuation of defamation.
The plaint as filed has no legs to stand on and should be cut off at the knees to/and avoid an expensive and wholly unnecessary waste of scarce judicial time and resources; an act that is inimical to public policy interest.
It is in the interest of justice that the plaint dated 11th June, 2018 be struck out with costs at the earliest opportunity as it discloses no reasonable cause of action against the 1st defendant and 2nd defendant and lacks merit.   
The plaintiff filed a replying affidavit sworn on 31/5/2019 by CHRISTOPHER BARRON opposing the application dated 6/12/2018 in which it is deposed that the application herein is an abuse of court process. the application is too general in its nature and failed to particularize the ground the 1st and 2nd defendants are seeking to rely on to have this suit struck out.
He stated that in his affidavit the 1st defendant make it appear that he is the founder of Tatu City Project yet the same is blatantly false. The 1st defendant is only concerned about his own personal interests and not those of the companies and their project. The 1st defendant and his proxies have taken all steps necessary to try and bring the projects to a stand still to the detriment of the plaintiffs and its stakeholders.",court,55.59%,model
"He averred that the articles that were complained about were facilitating and procured at the behest and instructions of the 1st defendant. The 1st defendant procured the 4th defendant to cover the story allegedly that the 1st and 2nd plaintiff were embroiled in a row with villagers over Tatu City Properties. This position is false. This was intended to destroy the image and reputation of the plaintiffs and their associate companies. The same was done with ill intent to insert pressure upon the plaintiffs and force them to undergo economic harm and damages.
The 1st defendant also procured the 5th and 6th defendants to publish a story in the business daily edition dated 23/5/2018 under the caption “Land Officials entangled in Tatu City fraud claims” concerning the 1st defendants claim in another constitutional petition namely Thika ELC Petition No. 5 of 2018 which was later withdrawn by the 1st defendant herein.
He stated that the stories complained of have been published by the 4th , 5th and 6th defendant at the 1st defendant’s instance in the expectation that such an adverse publicity will prevent the development of the Tatu City Project otherwise paralyze the 1st and 2nd plaintiff’s operations thus creating a leverage for the 1st defendant to try and force a buy-out of his one share on his terms.
The parties filed written submissions as follows: the 1st defendants submitted that to sustain a suit for defamation, the Plaintiff must prove that there were either words or publication and that they were defamatory in that they lowered the reputation of the claimant. The 1st defendant submitted that the plaint does not mention the words that were defamatory which were spoken by the 1st defendant. The Plaintiff only alleges that the 1st Defendant procured the 4th, 5th, and 6th Defendants to publish defamatory words. That is not an element of uttering a word as is contemplated by the court in of Joseph Njogu Kamunge v Charles Muriuki Gachari [2016] eKLR■",court,52.50%,model
"The 1st defendant submitted the Plaint has not specifically disclosed how the alleged publications have undermined the reputation of the Plaintiffs in the eyes of the right-thinking members of the society. Having fallen short of this element, the Plaint does not sustain a defamation suit let alone against the 1st Defendant.
The 1st defendant submitted further that the matter is barred by limitation of time. The cause of action of the Plaintiffs against the 1st Defendant has no chance of success because the suit was instituted on 11/6/2018. It is based on the alleged invalidity of caveats which were removed by the Registrar on Chief Land Registrar on the 25/5/2012 and the Nairobi Civil Application No. 198 of 2013 which was filed in 2013.
The 1st defendant argued that he is a mere citizen of Kenya and has no control or influence over the journalists that work for the Business Daily or the Nation Newspapers. The 1st Defendant is not a publisher or a proprietor of any newspaper making media house as alleged by the Plaintiffs at paragraph 11 of the Plaint. Neither is the 1st Defendant an employee of any publishing company within or without Kenya. No particulars of any statement uttered by the 1st Defendant have been alleged in the Plaint.
The 1st and 2nd plaintiffs submitted that law is very clear and categorical on the nature of an Application seeking to strike out a suit and the threshold that must be met. Under Order 2, Rule 15 of the Civil Procedure Rules, 2010, provides:
""(1) At any stage of the proceedings the court may order to be struck out or amended any pleading on the ground that-
a. it discloses no reasonable cause of action or defence in law; or■ 
b. it is scandalous, frivolous or vexatious; or
c. it may prejudice, embarrass or delay the fair trial of the action; or
d. it is otherwise an abuse of the process of the court,
and may order the suit to be stayed or dismissed or judgment to be entered accordingly, as the case may be.
(2) No evidence shall be admissible on an application under sub rule (1) (a) but the application shall state concisely the grounds on which it is made.""",court,55.59%,model
"The plaintiffs submitted the application herein disregards Order 2, Rule 15 of the Civil Procedure Rules, the 1st Defendant's submissions contain material evidence which should not form the substance of an application for striking out. The Application filed by the 1st Defendant are mere side shows aimed at distracting the Court from the real issues before it for determination.
It is trite law that summary procedure is a radical remedy and a court of law should be slow in resorting to this procedure which can only be applicable in plain, clear and obvious cases. Madan J (as he then was) in D T Dobie & Company (Kenya) Limited v Muchina,[1982]KLR 1,at page 9,said:
“The Court ought to act very cautiously and carefully and consider all facts of the case without embarking upon a trial thereof before dismissing a case for not disclosing a reasonable cause of action or being otherwise an abuse of the process of the Court. At this stage the Court ought not to deal with any merits of the case for that is a function solely reserved for the judge at the trial as the Court itself is not usually fully informed so as to deal with the merits without discovery, without oral discovery tested by cross-examination in the ordinary way.”
A pleading ought to be struck out if it is shown to be completely bad to the extent that not even an amendment can save it. The Court of Appeal in Francis Kamande v Vanguard Electrical Services Limited, Civil Appeal Number 152 of 1996, [1998] eKLR, observed that the summary procedure can only be adopted when it can be clearly seen that a claim or answer is on the face of it “obviously unsustainable.”
The plaintiffs further submitted that the Plaint filed on the 11/6/2018 is not barred by the Statute of Limitations Act as it is not a defamatory suit as alleged to be by the 1st Defendant a clear indication, he has not properly understood the suit filed herein or feigns ignorance by alleging that this is a defamatory suit. The 1st Defendant is well aware that the issues raised in Plaint relate to the conduct of the 1st Defendant that has caused great financial loss to the 1st and 2nd Plaintiff which he cannot use this court to escape from the same.
The issues for determination in this application are as follows;",court,56.07%,model
"The issues for determination in this application are as follows;
Whether this suit discloses a cause of action against the 1st and 2nd defendants.
Whether the plaintiff’s suit is statute time barred.
Whether the plaintiff’s suit against the 1st and 2nd defendants should be struck out.
On the issue as to whether the suit discloses a cause of action against the 1st and 2nd defendants, I find that this is not an issue that can be determined at interlocutory stage.
There is need for a full hearing for the court to determine the said issue.
On the issue as to whether the plaintiff’s suit is statute time barred again the issue needs ventilation by adducing evidence to determine when the cause of action arose.
On the issue as to whether the plaintiff’s suit against the 1st and 2nd defendants should be struck out, I find that striking out of the suit would be a draconian step.
The duty of the court is to preserve pleadings no matter how hopeless. In Yaya Towers Limited v Trade Bank Limited (In Liquidation) (Civil Appeal No. 35 of 2000) the same court expressed itself thus:
“A plaintiff (defendant) is entitled to pursue a claim in our courts however implausible and however improbable his chances of success. Unless the defendant (plaintiff) can demonstrate shortly and conclusively that the plaintiff’s claim is bound to fail or is otherwise objectionable as an abuse of the process of the Court, it must be allowed to proceed to trial...It cannot be doubted that the Court has inherent jurisdiction to dismiss that, which is an abuse of the process of the Court. It is a jurisdiction, which ought to be sparingly exercised and only in exceptional cases, and its exercise would not be justified merely because the story told in the pleadings was highly improbable, and one, which was difficult to believe, could be proved.”
The application dated 6/12/2018 lacks in merit and the same is dismissed with costs to the plaintiffs.
  
Dated, Signed and Delivered online via Microsoft Teams at Nairobi this 17th day of November, 2023.
     ………….…………….
N. ONGERI 
    JUDGE
In the presence of:■
……………………………………... for the Plaintiff
……………………………………… for the Defendant",court,56.90%,model
"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT NAIROBI
ELRC CAUSE NO. 1106 OF 2018
PITALIS MUSITIKHO ANDUKA■CLAIMANT 
- VERSUS -
ROSOLO BUILDING CO. LIMITED ■………….RESPONDENT
(Before Hon. Justice Byram Ongaya on Friday 17th November, 2023)
JUDGMENT
The claimant filed the Statement of claim on 02.07.2018 through Wanyonyi & Muhia Advocates. The claimant prayed for judgment against the respondent for:
The sum of Kshs.2,769,237.44.
Cost of this suit.
Interests on (a) and (b) above at Court rates. 
Any other relief that this Honourable Court may deem just. 
The Statement of response was filed on 23.08.2018 through Oyatta & Associates Advocates. The respondent prayed that the suit be dismissed with costs. 
The claimant’s case was that he was employed by the respondent on or about January 2000, as a carpenter, and that he served the respondent with loyalty and diligence until 06.05.2017, when, without any lawful cause, the respondent terminated his services. 
The claimant states that the respondent breached the terms of employment by failing to confirm him as an employee having served it for 17 years as a casual labourer.
It is the claimant’s case that the respondent failed to pay him just wages in accordance with the minimum wages’ regulations by paying him Kshs.700/= per day instead of the stipulated wages of Kshs.1,062.65 per day. 
The claimant pleaded that the respondent unlawfully denied him annual leave and forced him to work seven days a week without overtime allowances.  
That he was on 03.05.2016 injured in the course of his employment and was subsequently compensated by the insurance company for the injuries at the sum of Kshs.859,200/= which was paid through the respondent. The claimant states that the respondent unlawfully withheld the compensation from him and his attempts to recover the said sum from the respondent led to his services being unlawfully terminated.",court,53.91%,model
"On the part of the respondents it is stated that the claimant was never its employee, but was instead a causal labourer who would be occasionally called upon to work for it whenever need arose. 
The respondent asserts that it was non-existent and had not been incorporated in the year 2000, and, that it only came into existence when it was registered in 2005. Therefore, the claimant could not have been its employee as claimed. 
The respondent states that it only required the services of the claimant in 2013 and in 2015, for a period of 3 weeks on both occasions, with the claimant being injured during the latter period while undertaking carpentry services for it. 
That during the said two periods, the claimant was fully remunerated upon completion of the carpentry tasks given. 
That on 04.06.2015 while the claimant was engaged by the respondent, he got injured and incurred medical expenses amounting to Kshs.62,319/= which expenses were subsequently compensated by the respondent through its insurance company for a sum of Kshs.81,915/=. That the work injury benefits claim is an entirely different cause of action and cannot therefore be brought under this suit. 
The Claimant testified by adopting his witness statement and final submissions were filed for him. The respondent, despite service, failed to avail the witness and no final submissions were filed in that regard. The court has considered the parties’ respective cases and makes finding as follows.
The claimant has pleaded and testified that he served as a casual employee over a period of 17 years. The Court finds that by his own pleading and testimony per paragraph 2 of the witness statement, he was a casual employee, on and off. 
He enumerated his claims as follows:
Unpaid salary difference from 01.08.2013 – 30.05.2017 being 44 months thus 362.65 salary difference x1338.30.
One-month salary in lieu of notice Kshs.31, 879.50.
Salary from 01.05.2017 to 06.05.2017 Kshs.5, 313.25.
Unpaid leave for 17 years Kshs.541,951.50.
A year’s salary compensation for unlawful termination Kshs.382, 554.00.",court,52.29%,model
"A year’s salary compensation for unlawful termination Kshs.382, 554.00.
Gratuity for 16 years 5 months Kshs.210, 404.70.
Injury compensation paid by Monarch Insurance Kshs.859,200.00.
Unpaid NSSF for 17-years Kshs.400 x 198 months = Kshs.79, 200.00.
Unpaid NHIF for 17 years Kshs.173, 400.00.
Total claim Kshs.2, 769,237.44.
The Court has considered the material on record. The Court returns that the claimant has asserted that he was a casual employee. How then could the Court award him claims as prayed based on monthly rates of payment? The Court finds the reliefs as claimed for are speculative and not established at all. It cannot be that the underpayment was for all 17 years and that the same rate of payment applied and which is not shown to have been the case. 
As relates to compensation for injuries suffered, counsel for the claimant surrendered the same on 26.07.2023 per orders on record.
If the relationship was casual, then how would the Court return that it was an unfair termination whereas the witness statement states that the termination was without notice on unspecified date. The date, in the statement of claim and in the witness’ statement was 03.05.2016 when the claimant suffered the injury. The date of the alleged termination is at large. The Court is unable to return a finding of unfair termination for want of due circumstances and particulars duly establishing the alleged unfair termination.
In conclusion judgment is hereby entered for dismissal of the suit with orders each party to bear own costs of the suit.
Signed, dated and delivered by video-link and in court at Nairobi this Friday 17th November, 2023.
BYRAM ONGAYA
PRINCIPAL JUDGE",court,52.23%,model
